            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2458119.500000000, A.D. 2018-Jan-01 00:00:00.0000, -1.752200603881933E-01,  8.877371156232227E-01,  3.848397284220607E-01, -1.720124877602163E-02, -2.871876734194879E-03, -1.245387638412974E-03,
2458120.500000000, A.D. 2018-Jan-02 00:00:00.0000, -1.923931416977255E-01,  8.847281394314191E-01,  3.835348397480676E-01, -1.714410783309578E-02, -3.145924714711869E-03, -1.364318185749452E-03,
2458121.500000000, A.D. 2018-Jan-03 00:00:00.0000, -2.095066644504218E-01,  8.814455585789926E-01,  3.821112326535753E-01, -1.708213017832794E-02, -3.419095156372786E-03, -1.482826921533508E-03,
2458122.500000000, A.D. 2018-Jan-04 00:00:00.0000, -2.265557784983685E-01,  8.778902264757527E-01,  3.805693221215545E-01, -1.701528040480869E-02, -3.691432369934203E-03, -1.600926697637008E-03,
2458123.500000000, A.D. 2018-Jan-05 00:00:00.0000, -2.435355755339786E-01,  8.740629673710704E-01,  3.789095140773223E-01, -1.694348078236262E-02, -3.962947469823681E-03, -1.718621524401594E-03,
2458124.500000000, A.D. 2018-Jan-06 00:00:00.0000, -2.604410574340627E-01,  8.699646160234925E-01,  3.771322172728044E-01, -1.686663335898064E-02, -4.233607681572086E-03, -1.835901240224607E-03,
2458125.500000000, A.D. 2018-Jan-07 00:00:00.0000, -2.772671273472216E-01,  8.655960614731081E-01,  3.752378581847987E-01, -1.678464180174706E-02, -4.503338439068744E-03, -1.952740779503641E-03,
2458126.500000000, A.D. 2018-Jan-08 00:00:00.0000, -2.940085993958059E-01,  8.609582841324829E-01,  3.732268947839212E-01, -1.669742609148466E-02, -4.772033598388519E-03, -2.069102833777498E-03,
2458127.500000000, A.D. 2018-Jan-09 00:00:00.0000, -3.106602186901020E-01,  8.560523812308924E-01,  3.710998268312053E-01, -1.660492861182818E-02, -5.039567593641081E-03, -2.184941793528214E-03,
2458128.500000000, A.D. 2018-Jan-10 00:00:00.0000, -3.272166840066761E-01,  8.508795809828714E-01,  3.688572023154831E-01, -1.650711392466091E-02, -5.305805384230106E-03, -2.300207327728933E-03,
2458129.500000000, A.D. 2018-Jan-11 00:00:00.0000, -3.436726684515004E-01,  8.454412485947500E-01,  3.664996208292826E-01, -1.640396546994541E-02, -5.570608784885210E-03, -2.414846876113888E-03,
2458130.500000000, A.D. 2018-Jan-12 00:00:00.0000, -3.600228363720514E-01,  8.397388876314926E-01,  3.640277350276865E-01, -1.629548168274008E-02, -5.833839563976152E-03, -2.528807022628397E-03,
2458131.500000000, A.D. 2018-Jan-13 00:00:00.0000, -3.762618567048228E-01,  8.337741394651635E-01,  3.614422511585039E-01, -1.618167288896533E-02, -6.095360372703420E-03, -2.642034038037369E-03,
2458132.500000000, A.D. 2018-Jan-14 00:00:00.0000, -3.923844138350956E-01,  8.275487824232881E-01,  3.587439293175326E-01, -1.606255946074986E-02, -6.355034577975331E-03, -2.754473943312361E-03,
2458133.500000000, A.D. 2018-Jan-15 00:00:00.0000, -4.083852172370741E-01,  8.210647312945522E-01,  3.559335837514678E-01, -1.593817118571148E-02, -6.612725829086290E-03, -2.866072394348861E-03,
2458134.500000000, A.D. 2018-Jan-16 00:00:00.0000, -4.242590109657239E-01,  8.143240371631181E-01,  3.530120832716965E-01, -1.580854753578486E-02, -6.868297901090920E-03, -2.976774604066067E-03,
2458135.500000000, A.D. 2018-Jan-17 00:00:00.0000, -4.400005836924523E-01,  8.073288871361927E-01,  3.499803516705009E-01, -1.567373841291271E-02, -7.121615090072327E-03, -3.086525429533984E-03,
2458136.500000000, A.D. 2018-Jan-18 00:00:00.0000, -4.556047795480629E-01,  8.000816033748185E-01,  3.468393679462721E-01, -1.553380495409288E-02, -7.372543200927875E-03, -3.195269667470818E-03,
2458137.500000000, A.D. 2018-Jan-19 00:00:00.0000, -4.710665096627443E-01,  7.925846408940957E-01,  3.435901661386741E-01, -1.538882008106945E-02, -7.620950985943269E-03, -3.302952529118313E-03,
2458138.500000000, A.D. 2018-Jan-20 00:00:00.0000, -4.863807640625282E-01,  7.848405837967998E-01,  3.402338346295580E-01, -1.523886865788650E-02, -7.866711798426108E-03, -3.409520219582212E-03,
2458139.500000000, A.D. 2018-Jan-21 00:00:00.0000, -5.015426235460658E-01,  7.768521398370787E-01,  3.367715148462617E-01, -1.508404731940855E-02, -8.109705253513767E-03, -3.514920542875415E-03,
2458140.500000000, A.D. 2018-Jan-22 00:00:00.0000, -5.165472713079603E-01,  7.686221333519957E-01,  3.332043993642583E-01, -1.492446417552149E-02, -8.349818840372647E-03, -3.619103498554395E-03,
2458141.500000000, A.D. 2018-Jan-23 00:00:00.0000, -5.313900042948442E-01,  7.601534965420081E-01,  3.295337294010139E-01, -1.476023859696775E-02, -8.586949662128284E-03, -3.722021918876678E-03,
2458142.500000000, A.D. 2018-Jan-24 00:00:00.0000, -5.460662444061199E-01,  7.514492587876660E-01,  3.257607915963476E-01, -1.459150109274837E-02, -8.821006704251240E-03, -3.823632289395612E-03,
2458143.500000000, A.D. 2018-Jan-25 00:00:00.0000, -5.605715494743886E-01,  7.425125332254545E-01,  3.218869137958650E-01, -1.441839288204717E-02, -9.051914125451142E-03, -3.923895957681677E-03,
