            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2458119.500000000, A.D. 2018-Jan-01 00:00:00.0000, -1.583672712165000E+00, -3.691438802485796E-01, -1.265669324334897E-01,  3.860856746782269E-03, -1.123051305798852E-02, -5.255376713009801E-03,
2458120.500000000, A.D. 2018-Jan-02 00:00:00.0000, -1.579757873873237E+00, -3.803616752493090E-01, -1.318179327686964E-01,  3.968801911135760E-03, -1.120494302348265E-02, -5.246562061136566E-03,
2458121.500000000, A.D. 2018-Jan-03 00:00:00.0000, -1.575735145318027E+00, -3.915534983712236E-01, -1.370599326532955E-01,  4.076636218486578E-03, -1.117856912725059E-02, -5.237375695338025E-03,
2458122.500000000, A.D. 2018-Jan-04 00:00:00.0000, -1.571604640469387E+00, -4.027185452601830E-01, -1.422925600681429E-01,  4.184353425149704E-03, -1.115139041206414E-02, -5.227817012532089E-03,
2458123.500000000, A.D. 2018-Jan-05 00:00:00.0000, -1.567366479569022E+00, -4.138560106180638E-01, -1.475154423920508E-01,  4.291947250843575E-03, -1.112340593564480E-02, -5.217885416143066E-03,
2458124.500000000, A.D. 2018-Jan-06 00:00:00.0000, -1.563020789169331E+00, -4.249650882236483E-01, -1.527282064099672E-01,  4.399411370373967E-03, -1.109461477803449E-02, -5.207580315633028E-03,
2458125.500000000, A.D. 2018-Jan-07 00:00:00.0000, -1.558567702171917E+00, -4.360449709541999E-01, -1.579304783219213E-01,  4.506739408318886E-03, -1.106501604529710E-02, -5.196901125536548E-03,
2458126.500000000, A.D. 2018-Jan-08 00:00:00.0000, -1.554007357866374E+00, -4.470948508088295E-01, -1.631218837529330E-01,  4.613924943089119E-03, -1.103460887203908E-02, -5.185847268803415E-03,
2458127.500000000, A.D. 2018-Jan-09 00:00:00.0000, -1.549339901970177E+00, -4.581139189332049E-01, -1.683020477632057E-01,  4.720961518730232E-03, -1.100339242291276E-02, -5.174418184013816E-03,
2458128.500000000, A.D. 2018-Jan-10 00:00:00.0000, -1.544565486669204E+00, -4.691013656440493E-01, -1.734705948580140E-01,  4.827842651400086E-03, -1.097136588953587E-02, -5.162613327747188E-03,
2458129.500000000, A.D. 2018-Jan-11 00:00:00.0000, -1.539684270657874E+00, -4.800563804529370E-01, -1.786271489975557E-01,  4.934561822880053E-03, -1.093852848488702E-02, -5.150432168671376E-03,
2458130.500000000, A.D. 2018-Jan-12 00:00:00.0000, -1.534696419178924E+00, -4.909781520906799E-01, -1.837713336074565E-01,  5.041112471288778E-03, -1.090487943975062E-02, -5.137874180816429E-03,
2458131.500000000, A.D. 2018-Jan-13 00:00:00.0000, -1.529602104063928E+00, -5.018658685334335E-01, -1.889027715899313E-01,  5.147487988516985E-03, -1.087041800322908E-02, -5.124938842371068E-03,
2458132.500000000, A.D. 2018-Jan-14 00:00:00.0000, -1.524401503775354E+00, -5.127187170299975E-01, -1.940210853348916E-01,  5.253681720786532E-03, -1.083514344949019E-02, -5.111625639475304E-03,
2458133.500000000, A.D. 2018-Jan-15 00:00:00.0000, -1.519094803449411E+00, -5.235358841291904E-01, -1.991258967307674E-01,  5.359686967625355E-03, -1.079905508860084E-02, -5.097934071371041E-03,
2458134.500000000, A.D. 2018-Jan-16 00:00:00.0000, -1.513682194938284E+00, -5.343165557073274E-01, -2.042168271758037E-01,  5.465496983442141E-03, -1.076215227169471E-02, -5.083863654012689E-03,
2458135.500000000, A.D. 2018-Jan-17 00:00:00.0000, -1.508163876851508E+00, -5.450599169967802E-01, -2.092934975905035E-01,  5.571104984688389E-03, -1.072443438312808E-02, -5.069413920018132E-03,
2458136.500000000, A.D. 2018-Jan-18 00:00:00.0000, -1.502540054597789E+00, -5.557651526158905E-01, -2.143555284306967E-01,  5.676504154665371E-03, -1.068590082886631E-02, -5.054584415506437E-03,
2458137.500000000, A.D. 2018-Jan-19 00:00:00.0000, -1.496810940428271E+00, -5.664314465993961E-01, -2.194025397002323E-01,  5.781687640205167E-03, -1.064655103536133E-02, -5.039374697994184E-03,
2458138.500000000, A.D. 2018-Jan-20 00:00:00.0000, -1.490976753480542E+00, -5.770579824286056E-01, -2.244341509632233E-01,  5.886648543101740E-03, -1.060638445665718E-02, -5.023784335649053E-03,
2458139.500000000, A.D. 2018-Jan-21 00:00:00.0000, -1.485037719822210E+00, -5.876439430618504E-01, -2.294499813567445E-01,  5.991379912202593E-03, -1.056540057962587E-02, -5.007812905754686E-03,
2458140.500000000, A.D. 2018-Jan-22 00:00:00.0000, -1.478994072494195E+00, -5.981885109665265E-01, -2.344496496046050E-01,  6.095874742006383E-03, -1.052359892627440E-02, -4.991459994957760E-03,
2458141.500000000, A.D. 2018-Jan-23 00:00:00.0000, -1.472846051554857E+00, -6.086908681530790E-01, -2.394327740318009E-01,  6.200125980180740E-03, -1.048097905757631E-02, -4.974725205133934E-03,
2458142.500000000, A.D. 2018-Jan-24 00:00:00.0000, -1.466593904125066E+00, -6.191501962097226E-01, -2.443989725789374E-01,  6.304126538205041E-03, -1.043754057580814E-02, -4.957608160522182E-03,
2458143.500000000, A.D. 2018-Jan-25 00:00:00.0000, -1.460237884433085E+00, -6.295656763366815E-01, -2.493478628165560E-01,  6.407869293314574E-03, -1.039328312005577E-02, -4.940108506930893E-03,
2458144.500000000, A.D. 2018-Jan-26 00:00:00.0000, -1.453778253858678E+00, -6.399364893804532E-01, -2.542790619599668E-01,  6.511347080552985E-03, -1.034820635907124E-02, -4.922225904048599E-03,
2458145.500000000, A.D. 2018-Jan-27 00:00:00.0000, -1.447215280977274E+00, -6.502618158695412E-01, -2.591921868848999E-01,  6.614552686431560E-03, -1.030230998842722E-02, -4.903960020476757E-03,
2458146.500000000, A.D. 2018-Jan-28 00:00:00.0000, -1.440549241605416E+00, -6.605408360519394E-01, -2.640868541434777E-01,  6.717478848422912E-03, -1.025559373437527E-02, -4.885310535313826E-03,
2458147.500000000, A.D. 2018-Jan-29 00:00:00.0000, -1.433780418847396E+00, -6.707727299332684E-01, -2.689626799799319E-01,  6.820118254089322E-03, -1.020805736345733E-02, -4.866277142655671E-03,
2458148.500000000, A.D. 2018-Jan-30 00:00:00.0000, -1.426909103141776E+00, -6.809566773149832E-01, -2.738192803464367E-01,  6.922463538996404E-03, -1.015970069207820E-02, -4.846859555435686E-03,
2458149.500000000, A.D. 2018-Jan-31 00:00:00.0000, -1.419935592306878E+00, -6.910918578334677E-01, -2.786562709199836E-01,  7.024507290660029E-03, -1.011052358711671E-02, -4.827057507835100E-03,
2458150.500000000, A.D. 2018-Feb-01 00:00:00.0000, -1.412860191585909E+00, -7.011774510008261E-01, -2.834732671204036E-01,  7.126242057921739E-03, -1.006052595602246E-02, -4.806870755315333E-03,
2458151.500000000, A.D. 2018-Feb-02 00:00:00.0000, -1.405683213693023E+00, -7.112126362468121E-01, -2.882698841285541E-01,  7.227660354168439E-03, -1.000970773863121E-02, -4.786299072377397E-03,
2458152.500000000, A.D. 2018-Feb-03 00:00:00.0000, -1.398404978860409E+00, -7.211965929607984E-01, -2.930457369039980E-01,  7.328754650491113E-03, -9.958068909951203E-03, -4.765342250522898E-03,
2458153.500000000, A.D. 2018-Feb-04 00:00:00.0000, -1.391025814885247E+00, -7.311285005337399E-01, -2.978004402027373E-01,  7.429517365856082E-03, -9.905609486708551E-03, -4.744000096363353E-03,
2458154.500000000, A.D. 2018-Feb-05 00:00:00.0000, -1.383546057176010E+00, -7.410075384013510E-01, -3.025336085959321E-01,  7.529940861872284E-03, -9.852329530332955E-03, -4.722272430142479E-03,
