            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2458119.500000000, A.D. 2018-Jan-01 00:00:00.0000, -1.749932712817536E-01,  8.899803467634642E-01,  3.856297734262236E-01, -1.783400672643760E-02, -2.840053266419982E-03, -1.190902351337936E-03,
2458120.500000000, A.D. 2018-Jan-02 00:00:00.0000, -1.927998085017849E-01,  8.869296014537635E-01,  3.843530514762902E-01, -1.777122709594535E-02, -3.260983580297140E-03, -1.362840434761209E-03,
2458121.500000000, A.D. 2018-Jan-03 00:00:00.0000, -2.105202700503633E-01,  8.834612941793873E-01,  3.829042293342055E-01, -1.766224090209988E-02, -3.673202253950725E-03, -1.534368793415926E-03,
2458122.500000000, A.D. 2018-Jan-04 00:00:00.0000, -2.281103624865509E-01,  8.795897985702443E-01,  3.812858759920907E-01, -1.751159440994323E-02, -4.065711145974055E-03, -1.701236499895963E-03,
2458123.500000000, A.D. 2018-Jan-05 00:00:00.0000, -2.455322667472042E-01,  8.753392393726197E-01,  3.795044962512674E-01, -1.732743127286368E-02, -4.430242128667810E-03, -1.859924975676493E-03,
2458124.500000000, A.D. 2018-Jan-06 00:00:00.0000, -2.627573679174835E-01,  8.707402345371951E-01,  3.775695502974678E-01, -1.711969495373385E-02, -4.762129621682381E-03, -2.008082750784102E-03,
2458125.500000000, A.D. 2018-Jan-07 00:00:00.0000, -2.797671352175125E-01,  8.658263005678797E-01,  3.754922268625002E-01, -1.689835228360613E-02, -5.060143223968029E-03, -2.144586331849726E-03,
2458126.500000000, A.D. 2018-Jan-08 00:00:00.0000, -2.965524878213222E-01,  8.606307979820411E-01,  3.732843068710880E-01, -1.667219794988749E-02, -5.325660370011436E-03, -2.269325157285470E-03,
2458127.500000000, A.D. 2018-Jan-09 00:00:00.0000, -3.131123214123183E-01,  8.551848206500877E-01,  3.709573081021574E-01, -1.644835852954627E-02, -5.561681017984907E-03, -2.382882399826773E-03,
2458128.500000000, A.D. 2018-Jan-10 00:00:00.0000, -3.294518171699242E-01,  8.495159989197586E-01,  3.685219423456569E-01, -1.623230972810753E-02, -5.772021838455467E-03, -2.486245196922210E-03,
2458129.500000000, A.D. 2018-Jan-11 00:00:00.0000, -3.455809135286890E-01,  8.436479634339892E-01,  3.659878202192899E-01, -1.602814356128460E-02, -5.960804442867136E-03, -2.580603262725056E-03,
2458130.500000000, A.D. 2018-Jan-12 00:00:00.0000, -3.615130817101465E-01,  8.376001833060301E-01,  3.633633106076791E-01, -1.583888280594374E-02, -6.132206330193735E-03, -2.667238456603778E-03,
2458131.500000000, A.D. 2018-Jan-13 00:00:00.0000, -3.772643897774093E-01,  8.313879574281730E-01,  3.606554743770219E-01, -1.566673204360377E-02, -6.290388168276515E-03, -2.747481895412431E-03,
2458132.500000000, A.D. 2018-Jan-14 00:00:00.0000, -3.928527675591690E-01,  8.250224273580550E-01,  3.578700192130833E-01, -1.551322619882327E-02, -6.439510196836049E-03, -2.822710026270696E-03,
2458133.500000000, A.D. 2018-Jan-15 00:00:00.0000, -4.082973692519494E-01,  8.185105583417704E-01,  3.550112493600215E-01, -1.537928029294236E-02, -6.583770264873799E-03, -2.894355224118969E-03,
2458134.500000000, A.D. 2018-Jan-16 00:00:00.0000, -4.236179465117959E-01,  8.118550908156892E-01,  3.520820051201380E-01, -1.526516597875757E-02, -6.727419364599694E-03, -2.963913347665549E-03,
2458135.500000000, A.D. 2018-Jan-17 00:00:00.0000, -4.388341756818475E-01,  8.050544977919147E-01,  3.490836009373059E-01, -1.517044922726872E-02, -6.874732285620199E-03, -3.032937873848061E-03,
2458136.500000000, A.D. 2018-Jan-18 00:00:00.0000, -4.539649176638389E-01,  7.981029961094034E-01,  3.460157777935933E-01, -1.509392311793976E-02, -7.029930081940683E-03, -3.103017083750645E-03,
2458137.500000000, A.D. 2018-Jan-19 00:00:00.0000, -4.690274193294692E-01,  7.909906549670451E-01,  3.428766861129415E-01, -1.503356132719396E-02, -7.197065867057345E-03, -3.175736652802920E-03,
2458138.500000000, A.D. 2018-Jan-20 00:00:00.0000, -4.840364841016619E-01,  7.837036290859298E-01,  3.396629109098727E-01, -1.498650344397788E-02, -7.379893092153496E-03, -3.252633730639977E-03,
2458139.500000000, A.D. 2018-Jan-21 00:00:00.0000, -4.990036422370385E-01,  7.762245249385886E-01,  3.363695443550789E-01, -1.494906698960651E-02, -7.581733196839729E-03, -3.335148908561525E-03,
2458140.500000000, A.D. 2018-Jan-22 00:00:00.0000, -5.139363397713291E-01,  7.685328970252316E-01,  3.329903060300605E-01, -1.491676950452712E-02, -7.805347154952388E-03, -3.424578842305117E-03,
2458141.500000000, A.D. 2018-Jan-23 00:00:00.0000, -5.288371472124184E-01,  7.606058757978167E-01,  3.295177115632253E-01, -1.488434396145152E-02, -8.052796566424297E-03, -3.522025547504046E-03,
2458142.500000000, A.D. 2018-Jan-24 00:00:00.0000, -5.437029788457871E-01,  7.524189527304450E-01,  3.259432981951196E-01, -1.484574669784203E-02, -8.325261704993193E-03, -3.628330745024163E-03,
2458143.500000000, A.D. 2018-Jan-25 00:00:00.0000, -5.585243278974303E-01,  7.439469857982168E-01,  3.222579303534414E-01, -1.479419014473184E-02, -8.622776346503800E-03, -3.743978612725013E-03,
2458144.500000000, A.D. 2018-Jan-26 00:00:00.0000, -5.732845772958961E-01,  7.351655233793667E-01,  3.184522245695067E-01, -1.472227832250918E-02, -8.943855201902568E-03, -3.868952842725330E-03,
2458145.500000000, A.D. 2018-Jan-27 00:00:00.0000, -5.879595463608202E-01,  7.260525454531017E-01,  3.145171403970169E-01, -1.462236550348228E-02, -9.285043798133785E-03, -4.002550285495335E-03,
2458146.500000000, A.D. 2018-Jan-28 00:00:00.0000, -6.025175612462004E-01,  7.165906453302219E-01,  3.104447658108251E-01, -1.448726198814445E-02, -9.640518881751565E-03, -4.143188390184919E-03,
2458147.500000000, A.D. 2018-Jan-29 00:00:00.0000, -6.169204264753412E-01,  7.067694881086662E-01,  3.062292648316801E-01, -1.431132232875773E-02, -1.000198306690837E-02, -4.288291253035128E-03,
2458148.500000000, A.D. 2018-Jan-30 00:00:00.0000, -6.311256136395816E-01,  6.965881040820836E-01,  3.018678512996179E-01, -1.409173899973128E-02, -1.035914415012588E-02, -4.434370645812181E-03,
2458149.500000000, A.D. 2018-Jan-31 00:00:00.0000, -6.450896714382423E-01,  6.860563366037612E-01,  2.973615454308524E-01, -1.382960026981094E-02, -1.070092667887004E-02, -4.577385717894351E-03,
2458150.500000000, A.D. 2018-Feb-01 00:00:00.0000, -6.587723439850728E-01,  6.751947825577118E-01,  2.927154403105188E-01, -1.353016724201735E-02, -1.101720397980772E-02, -4.713343638850591E-03,
2458151.500000000, A.D. 2018-Feb-02 00:00:00.0000, -6.721404355861933E-01,  6.640329749993108E-01,  2.879383214111327E-01, -1.320208273704632E-02, -1.130046574429425E-02, -4.838951846001887E-03,
2458152.500000000, A.D. 2018-Feb-03 00:00:00.0000, -6.851704296172477E-01,  6.526062075189528E-01,  2.830417128087107E-01, -1.285575592812531E-02, -1.154677990854223E-02, -4.952075259200622E-03,
2458153.500000000, A.D. 2018-Feb-04 00:00:00.0000, -6.978493453640637E-01,  6.409518874150677E-01,  2.780386315987424E-01, -1.250157461201537E-02, -1.175577073855909E-02, -5.051853348473591E-03,
2458154.500000000, A.D. 2018-Feb-05 00:00:00.0000, -7.101739942303240E-01,  6.291063281302502E-01,  2.729423877205134E-01, -1.214857118925876E-02, -1.192983108402446E-02, -5.138511349909646E-03,
2458155.500000000, A.D. 2018-Feb-06 00:00:00.0000, -7.221492560920992E-01,  6.171025145844614E-01,  2.677656635806452E-01, -1.180380556996941E-02, -1.207304678380610E-02, -5.213018371550349E-03,
2458156.500000000, A.D. 2018-Feb-07 00:00:00.0000, -7.337860637918162E-01,  6.049689074272862E-01,  2.625199451456504E-01, -1.147236024133208E-02, -1.219024625367487E-02, -5.276747581811109E-03,
2458157.500000000, A.D. 2018-Feb-08 00:00:00.0000, -7.450995774475783E-01,  5.927290451778600E-01,  2.572152518308120E-01, -1.115767748409539E-02, -1.228636891178500E-02, -5.331226671485263E-03,
2458158.500000000, A.D. 2018-Feb-09 00:00:00.0000, -7.561077594103246E-01,  5.804016112337389E-01,  2.518600606647990E-01, -1.086198913494931E-02, -1.236615722536401E-02, -5.377997731176237E-03,
2458159.500000000, A.D. 2018-Feb-10 00:00:00.0000, -7.668303568173396E-01,  5.680006817139928E-01,  2.464613235119847E-01, -1.058668458179886E-02, -1.243408555333084E-02, -5.418566230280216E-03,
2458160.500000000, A.D. 2018-Feb-11 00:00:00.0000, -7.772881910383643E-01,  5.555359694657469E-01,  2.410245041973087E-01, -1.033255127349381E-02, -1.249442277425638E-02, -5.454406799296066E-03,
2458161.500000000, A.D. 2018-Feb-12 00:00:00.0000, -7.875026182588142E-01,  5.430129752667324E-01,  2.355535942036979E-01, -1.009987784986434E-02, -1.255134298120275E-02, -5.486995806553918E-03,
2458162.500000000, A.D. 2018-Feb-13 00:00:00.0000, -7.974950315912309E-01,  5.304330311661397E-01,  2.300510925154037E-01, -9.888438652088742E-03, -1.260902191612716E-02, -5.517847089768099E-03,
2458163.500000000, A.D. 2018-Feb-14 00:00:00.0000, -8.072863017594163E-01,  5.177932729208328E-01,  2.245179556815662E-01, -9.697392691294925E-03, -1.267167673211445E-02, -5.548533328727116E-03,
2458164.500000000, A.D. 2018-Feb-15 00:00:00.0000, -8.168960910701253E-01,  5.050866122717589E-01,  2.189535389227771E-01, -9.525138740512725E-03, -1.274352372935192E-02, -5.580681050005362E-03,
2458165.500000000, A.D. 2018-Feb-16 00:00:00.0000, -8.263420198644258E-01,  4.923017965421687E-01,  2.133555582234849E-01, -9.369173091628168E-03, -1.282864623467728E-02, -5.615933189318609E-03,
2458166.500000000, A.D. 2018-Feb-17 00:00:00.0000, -8.356387111431282E-01,  4.794236413868638E-01,  2.077201060267631E-01, -9.225995061441405E-03, -1.293078388709925E-02, -5.655880081395397E-03,
2458167.500000000, A.D. 2018-Feb-18 00:00:00.0000, -8.447967794952153E-01,  4.664335021756983E-01,  2.020417486957832E-01, -9.091094318769638E-03, -1.305307198481293E-02, -5.701966754873334E-03,
2458168.500000000, A.D. 2018-Feb-19 00:00:00.0000, -8.538218551431298E-01,  4.533100152547271E-01,  1.963137233677350E-01, -8.959034249338310E-03, -1.319776880364936E-02, -5.755389121751608E-03,
2458169.500000000, A.D. 2018-Feb-20 00:00:00.0000, -8.627137370039868E-01,  4.400301032710260E-01,  1.905282387598329E-01, -8.823623883469451E-03, -1.336600471077652E-02, -5.816991710693318E-03,
2458170.500000000, A.D. 2018-Feb-21 00:00:00.0000, -8.714657537232049E-01,  4.265702123021425E-01,  1.846768739568598E-01, -8.678158418287228E-03, -1.355757068055467E-02, -5.887174661246102E-03,
2458171.500000000, A.D. 2018-Feb-22 00:00:00.0000, -8.800643926855164E-01,  4.129077406557525E-01,  1.787510650484765E-01, -8.515713674123515E-03, -1.377074510983477E-02, -5.965810625726087E-03,
2458172.500000000, A.D. 2018-Feb-23 00:00:00.0000, -8.884892524905089E-01,  3.990226251736124E-01,  1.727426712859755E-01, -8.329502247063737E-03, -1.400215138971986E-02, -6.052168360646455E-03,
2458173.500000000, A.D. 2018-Feb-24 00:00:00.0000, -8.967133958325406E-01,  3.848990515752947E-01,  1.666446141415284E-01, -8.113325390979333E-03, -1.424665713993900E-02, -6.144844587083824E-03,
2458174.500000000, A.D. 2018-Feb-25 00:00:00.0000, -9.047042196199587E-01,  3.705272237399107E-01,  1.604515740366161E-01, -7.862160632248380E-03, -1.449737117239356E-02, -6.241721502809839E-03,
2458175.500000000, A.D. 2018-Feb-26 00:00:00.0000, -9.124249832805046E-01,  3.559050430474284E-01,  1.541607010617921E-01, -7.572883535971768E-03, -1.474584836596714E-02, -6.339989668448820E-03,
2458176.500000000, A.D. 2018-Feb-27 00:00:00.0000, -9.198370885201878E-01,  3.410394232923476E-01,  1.477722475280173E-01, -7.245020741768496E-03, -1.498263325148146E-02, -6.436290468189609E-03,
2458177.500000000, A.D. 2018-Feb-28 00:00:00.0000, -9.269030357254788E-01,  3.259468604133410E-01,  1.412899802483318E-01, -6.881302379506793E-03, -1.519820560532584E-02, -6.527017106299738E-03,
2458178.500000000, A.D. 2018-Mar-01 00:00:00.0000, -9.335897076952175E-01,  3.106528931952562E-01,  1.347212173272420E-01, -6.487717380144704E-03, -1.538421555052215E-02, -6.608754454882485E-03,
2458179.500000000, A.D. 2018-Mar-02 00:00:00.0000, -9.398713707527286E-01,  2.951903117320767E-01,  1.280763952736567E-01, -6.072880552945558E-03, -1.553468568486162E-02, -6.678755264757135E-03,
2458180.500000000, A.D. 2018-Mar-03 00:00:00.0000, -9.457317218275967E-01,  2.795963527335485E-01,  1.213682052962569E-01, -5.646799659953647E-03, -1.564677237735341E-02, -6.735300045068864E-03,
2458181.500000000, A.D. 2018-Mar-04 00:00:00.0000, -9.511645523683495E-01,  2.639094734422636E-01,  1.146104812859414E-01, -5.219420936337106E-03, -1.572082805530828E-02, -6.777821392410958E-03,
2458182.500000000, A.D. 2018-Mar-05 00:00:00.0000, -9.561730450846520E-01,  2.481664049076535E-01,  1.078170922779787E-01, -4.799419378132325E-03, -1.575981467296540E-02, -6.806778176509065E-03,
2458183.500000000, A.D. 2018-Mar-06 00:00:00.0000, -9.607681187905577E-01,  2.323999953074457E-01,  1.010010518502966E-01, -4.393531136767344E-03, -1.576837172347277E-02, -6.823367746594050E-03,
2458184.500000000, A.D. 2018-Mar-07 00:00:00.0000, -9.649663956718764E-01,  2.166380071727429E-01,  9.417394346491796E-02, -4.006448449317346E-03, -1.575189273199577E-02, -6.829201852809842E-03,
2458185.500000000, A.D. 2018-Mar-08 00:00:00.0000, -9.687882749529471E-01,  2.009027297517258E-01,  8.734564575126119E-02, -3.641099445937155E-03, -1.571584287693748E-02, -6.826042262662934E-03,
2458186.500000000, A.D. 2018-Mar-09 00:00:00.0000, -9.722563827769140E-01,  1.852111192675024E-01,  8.052427342863232E-02, -3.299085314699707E-03, -1.566538496527327E-02, -6.815636123785456E-03,
2458187.500000000, A.D. 2018-Mar-10 00:00:00.0000, -9.753944615285589E-01,  1.695751758938185E-01,  7.371623371150843E-02, -2.981099562316280E-03, -1.560526659526555E-02, -6.799646382863820E-03,
2458188.500000000, A.D. 2018-Mar-11 00:00:00.0000, -9.782266266406295E-01,  1.540023405789090E-01,  6.692631528280218E-02, -2.687233861869079E-03, -1.553987734851794E-02, -6.779651189771831E-03,
2458189.500000000, A.D. 2018-Mar-12 00:00:00.0000, -9.807768569721175E-01,  1.384957876895180E-01,  6.015775594660602E-02, -2.417137622888137E-03, -1.547338632141513E-02, -6.757182353395308E-03,
2458190.500000000, A.D. 2018-Mar-13 00:00:00.0000, -9.830685721114134E-01,  1.230545708645712E-01,  5.341226344915073E-02, -2.170034768485378E-03, -1.540988763134878E-02, -6.733776580826911E-03,
2458191.500000000, A.D. 2018-Mar-14 00:00:00.0000, -9.851241638515643E-01,  1.076736432486481E-01,  4.668998787964213E-02, -1.944620185733021E-03, -1.535349790876045E-02, -6.711017766039742E-03,
